codigo_municipio,codigo_ibge_completo,nome_municipio
290010,2900108,Abaíra
290020,2900207,Abaré
290030,2900306,Acajutiba
290035,2900355,Adustina
290040,2900405,Água Fria
290050,2900504,Érico Cardoso
290060,2900603,Aiquara
290070,2900702,Alagoinhas
290080,2900801,Alcobaça
290090,2900900,Almadina
290100,2901007,Amargosa
290110,2901106,Amélia Rodrigues
290115,2901155,América Dourada
290120,2901205,Anagé
290130,2901304,Andaraí
290135,2901353,Andorinha
290140,2901403,Angical
290150,2901502,Anguera
290160,2901601,Antas
290170,2901700,Antônio Cardoso
290180,2901809,Antônio Gonçalves
290190,2901908,Aporá
290195,2901957,Apuarema
290200,2902005,Aracatu
290205,2902054,Araçás
290210,2902104,Araci
290220,2902203,Aramari
290225,2902252,Arataca
290230,2902302,Aratuípe
290240,2902401,Aurelino Leal
290250,2902500,Baianópolis
290260,2902609,Baixa Grande
290265,2902658,Banzaê
290270,2902708,Barra
290280,2902807,Barra da Estiva
290290,2902906,Barra do Choça
290300,2903003,Barra do Mendes
290310,2903102,Barra do Rocha
290320,2903201,Barreiras
290323,2903235,Barro Alto
290327,2903276,Barrocas
290330,2903300,Barro Preto
290340,2903409,Belmonte
290350,2903508,Belo Campo
290360,2903607,Biritinga
290370,2903706,Boa Nova
290380,2903805,Boa Vista do Tupim
290390,2903904,Bom Jesus da Lapa
290395,2903953,Bom Jesus da Serra
290400,2904001,Boninal
290405,2904050,Bonito
290410,2904100,Boquira
290420,2904209,Botuporã
290430,2904308,Brejões
290440,2904407,Brejolândia
290450,2904506,Brotas de Macaúbas
290460,2904605,Brumado
290470,2904704,Buerarema
290475,2904753,Buritirama
290480,2904803,Caatiba
290485,2904852,Cabaceiras do Paraguaçu
290490,2904902,Cachoeira
290500,2905008,Caculé
290510,2905107,Caém
290515,2905156,Caetanos
290520,2905206,Caetité
290530,2905305,Cafarnaum
290540,2905404,Cairu
290550,2905503,Caldeirão Grande
290560,2905602,Camacan
290570,2905701,Camaçari
290580,2905800,Camamu
290590,2905909,Campo Alegre de Lourdes
290600,2906006,Campo Formoso
290610,2906105,Canápolis
290620,2906204,Canarana
290630,2906303,Canavieiras
290640,2906402,Candeal
290650,2906501,Candeias
290660,2906600,Candiba
290670,2906709,Cândido Sales
290680,2906808,Cansanção
290682,2906824,Canudos
290685,2906857,Capela do Alto Alegre
290687,2906873,Capim Grosso
290689,2906899,Caraíbas
290690,2906907,Caravelas
290700,2907004,Cardeal da Silva
290710,2907103,Carinhanha
290720,2907202,Casa Nova
290730,2907301,Castro Alves
290740,2907400,Catolândia
290750,2907509,Catu
290755,2907558,Caturama
290760,2907608,Central
290770,2907707,Chorrochó
290780,2907806,Cícero Dantas
290790,2907905,Cipó
290800,2908002,Coaraci
290810,2908101,Cocos
290820,2908200,Conceição da Feira
290830,2908309,Conceição do Almeida
290840,2908408,Conceição do Coité
290850,2908507,Conceição do Jacuípe
290860,2908606,Conde
290870,2908705,Condeúba
290880,2908804,Contendas do Sincorá
290890,2908903,Coração de Maria
290900,2909000,Cordeiros
290910,2909109,Coribe
290920,2909208,Coronel João Sá
290930,2909307,Correntina
290940,2909406,Cotegipe
290950,2909505,Cravolândia
290960,2909604,Crisópolis
290970,2909703,Cristópolis
290980,2909802,Cruz das Almas
290990,2909901,Curaçá
291000,2910008,Dário Meira
291005,2910057,Dias d'Ávila
291010,2910107,Dom Basílio
291020,2910206,Dom Macedo Costa
291030,2910305,Elísio Medrado
291040,2910404,Encruzilhada
291050,2910503,Entre Rios
291060,2910602,Esplanada
291070,2910701,Euclides da Cunha
291072,2910727,Eunápolis
291075,2910750,Fátima
291077,2910776,Feira da Mata
291080,2910800,Feira de Santana
291085,2910859,Filadélfia
291090,2910909,Firmino Alves
291100,2911006,Floresta Azul
291110,2911105,Formosa do Rio Preto
291120,2911204,Gandu
291125,2911253,Gavião
291130,2911303,Gentio do Ouro
291140,2911402,Glória
291150,2911501,Gongogi
291160,2911600,Governador Mangabeira
291165,2911659,Guajeru
291170,2911709,Guanambi
291180,2911808,Guaratinga
291185,2911857,Heliópolis
291190,2911907,Iaçu
291200,2912004,Ibiassucê
291210,2912103,Ibicaraí
291220,2912202,Ibicoara
291230,2912301,Ibicuí
291240,2912400,Ibipeba
291250,2912509,Ibipitanga
291260,2912608,Ibiquera
291270,2912707,Ibirapitanga
291280,2912806,Ibirapuã
291290,2912905,Ibirataia
291300,2913002,Ibitiara
291310,2913101,Ibititá
291320,2913200,Ibotirama
291330,2913309,Ichu
291340,2913408,Igaporã
291345,2913457,Igrapiúna
291350,2913507,Iguaí
291360,2913606,Ilhéus
291370,2913705,Inhambupe
291380,2913804,Ipecaetá
291390,2913903,Ipiaú
291400,2914000,Ipirá
291410,2914109,Ipupiara
291420,2914208,Irajuba
291430,2914307,Iramaia
291440,2914406,Iraquara
291450,2914505,Irará
291460,2914604,Irecê
291465,2914653,Itabela
291470,2914703,Itaberaba
291480,2914802,Itabuna
291490,2914901,Itacaré
291500,2915007,Itaeté
291510,2915106,Itagi
291520,2915205,Itagibá
291530,2915304,Itagimirim
291535,2915353,Itaguaçu da Bahia
291540,2915403,Itaju do Colônia
291550,2915502,Itajuípe
291560,2915601,Itamaraju
291570,2915700,Itamari
291580,2915809,Itambé
291590,2915908,Itanagra
291600,2916005,Itanhém
291610,2916104,Itaparica
291620,2916203,Itapé
291630,2916302,Itapebi
291640,2916401,Itapetinga
291650,2916500,Itapicuru
291660,2916609,Itapitanga
291670,2916708,Itaquara
291680,2916807,Itarantim
291685,2916856,Itatim
291690,2916906,Itiruçu
291700,2917003,Itiúba
291710,2917102,Itororó
291720,2917201,Ituaçu
291730,2917300,Ituberá
291733,2917334,Iuiu
291735,2917359,Jaborandi
291740,2917409,Jacaraci
291750,2917508,Jacobina
291760,2917607,Jaguaquara
291770,2917706,Jaguarari
291780,2917805,Jaguaripe
291790,2917904,Jandaíra
291800,2918001,Jequié
291810,2918100,Jeremoabo
291820,2918209,Jiquiriçá
291830,2918308,Jitaúna
291835,2918357,João Dourado
291840,2918407,Juazeiro
291845,2918456,Jucuruçu
291850,2918506,Jussara
291855,2918555,Jussari
291860,2918605,Jussiape
291870,2918704,Lafaiete Coutinho
291875,2918753,Lagoa Real
291880,2918803,Laje
291890,2918902,Lajedão
291900,2919009,Lajedinho
291905,2919058,Lajedo do Tabocal
291910,2919108,Lamarão
291915,2919157,Lapão
291920,2919207,Lauro de Freitas
291930,2919306,Lençóis
291940,2919405,Licínio de Almeida
291950,2919504,Livramento de Nossa Senhora
291955,2919553,Luís Eduardo Magalhães
291960,2919603,Macajuba
291970,2919702,Macarani
291980,2919801,Macaúbas
291990,2919900,Macururé
291992,2919926,Madre de Deus
291995,2919959,Maetinga
292000,2920007,Maiquinique
292010,2920106,Mairi
292020,2920205,Malhada
292030,2920304,Malhada de Pedras
292040,2920403,Manoel Vitorino
292045,2920452,Mansidão
292050,2920502,Maracás
292060,2920601,Maragogipe
292070,2920700,Maraú
292080,2920809,Marcionílio Souza
292090,2920908,Mascote
292100,2921005,Mata de São João
292105,2921054,Matina
292110,2921104,Medeiros Neto
292120,2921203,Miguel Calmon
292130,2921302,Milagres
292140,2921401,Mirangaba
292145,2921450,Mirante
292150,2921500,Monte Santo
292160,2921609,Morpará
292170,2921708,Morro do Chapéu
292180,2921807,Mortugaba
292190,2921906,Mucugê
292200,2922003,Mucuri
292205,2922052,Mulungu do Morro
292210,2922102,Mundo Novo
292220,2922201,Muniz Ferreira
292225,2922250,Muquém do São Francisco
292230,2922300,Muritiba
292240,2922409,Mutuípe
292250,2922508,Nazaré
292260,2922607,Nilo Peçanha
292265,2922656,Nordestina
292270,2922706,Nova Canaã
292273,2922730,Nova Fátima
292275,2922755,Nova Ibiá
292280,2922805,Nova Itarana
292285,2922854,Nova Redenção
292290,2922904,Nova Soure
292300,2923001,Nova Viçosa
292303,2923035,Novo Horizonte
292305,2923050,Novo Triunfo
292310,2923100,Olindina
292320,2923209,Oliveira dos Brejinhos
292330,2923308,Ouriçangas
292335,2923357,Ourolândia
292340,2923407,Palmas de Monte Alto
292350,2923506,Palmeiras
292360,2923605,Paramirim
292370,2923704,Paratinga
292380,2923803,Paripiranga
292390,2923902,Pau Brasil
292400,2924009,Paulo Afonso
292405,2924058,Pé de Serra
292410,2924108,Pedrão
292420,2924207,Pedro Alexandre
292430,2924306,Piatã
292440,2924405,Pilão Arcado
292450,2924504,Pindaí
292460,2924603,Pindobaçu
292465,2924652,Pintadas
292467,2924678,Piraí do Norte
292470,2924702,Piripá
292480,2924801,Piritiba
292490,2924900,Planaltino
292500,2925006,Planalto
292510,2925105,Poções
292520,2925204,Pojuca
292525,2925253,Ponto Novo
292530,2925303,Porto Seguro
292540,2925402,Potiraguá
292550,2925501,Prado
292560,2925600,Presidente Dutra
292570,2925709,Presidente Jânio Quadros
292575,2925758,Presidente Tancredo Neves
292580,2925808,Queimadas
292590,2925907,Quijingue
292593,2925931,Quixabeira
292595,2925956,Rafael Jambeiro
292600,2926004,Remanso
292610,2926103,Retirolândia
292620,2926202,Riachão das Neves
292630,2926301,Riachão do Jacuípe
292640,2926400,Riacho de Santana
292650,2926509,Ribeira do Amparo
292660,2926608,Ribeira do Pombal
292665,2926657,Ribeirão do Largo
292670,2926707,Rio de Contas
292680,2926806,Rio do Antônio
292690,2926905,Rio do Pires
292700,2927002,Rio Real
292710,2927101,Rodelas
292720,2927200,Ruy Barbosa
292730,2927309,Salinas da Margarida
292740,2927408,Salvador
292750,2927507,Santa Bárbara
292760,2927606,Santa Brígida
292770,2927705,Santa Cruz Cabrália
292780,2927804,Santa Cruz da Vitória
292790,2927903,Santa Inês
292800,2928000,Santaluz
292805,2928059,Santa Luzia
292810,2928109,Santa Maria da Vitória
292820,2928208,Santana
292830,2928307,Santanópolis
292840,2928406,Santa Rita de Cássia
292850,2928505,Santa Terezinha
292860,2928604,Santo Amaro
292870,2928703,Santo Antônio de Jesus
292880,2928802,Santo Estêvão
292890,2928901,São Desidério
292895,2928950,São Domingos
292900,2929008,São Félix
292905,2929057,São Félix do Coribe
292910,2929107,São Felipe
292920,2929206,São Francisco do Conde
292925,2929255,São Gabriel
292930,2929305,São Gonçalo dos Campos
292935,2929354,São José da Vitória
292937,2929370,São José do Jacuípe
292940,2929404,São Miguel das Matas
292950,2929503,São Sebastião do Passé
292960,2929602,Sapeaçu
292970,2929701,Sátiro Dias
292975,2929750,Saubara
292980,2929800,Saúde
292990,2929909,Seabra
293000,2930006,Sebastião Laranjeiras
293010,2930105,Senhor do Bonfim
293015,2930154,Serra do Ramalho
293020,2930204,Sento Sé
293030,2930303,Serra Dourada
293040,2930402,Serra Preta
293050,2930501,Serrinha
293060,2930600,Serrolândia
293070,2930709,Simões Filho
293075,2930758,Sítio do Mato
293076,2930766,Sítio do Quinto
293077,2930774,Sobradinho
293080,2930808,Souto Soares
293090,2930907,Tabocas do Brejo Velho
293100,2931004,Tanhaçu
293105,2931053,Tanque Novo
293110,2931103,Tanquinho
293120,2931202,Taperoá
293130,2931301,Tapiramutá
293135,2931350,Teixeira de Freitas
293140,2931400,Teodoro Sampaio
293150,2931509,Teofilândia
293160,2931608,Teolândia
293170,2931707,Terra Nova
293180,2931806,Tremedal
293190,2931905,Tucano
293200,2932002,Uauá
293210,2932101,Ubaíra
293220,2932200,Ubaitaba
293230,2932309,Ubatã
293240,2932408,Uibaí
293245,2932457,Umburanas
293250,2932507,Una
293260,2932606,Urandi
293270,2932705,Uruçuca
293280,2932804,Utinga
293290,2932903,Valença
293300,2933000,Valente
293305,2933059,Várzea da Roça
293310,2933109,Várzea do Poço
293315,2933158,Várzea Nova
293317,2933174,Varzedo
293320,2933208,Vera Cruz
293325,2933257,Vereda
293330,2933307,Vitória da Conquista
293340,2933406,Wagner
293345,2933455,Wanderley
293350,2933505,Wenceslau Guimarães
293360,2933604,Xique-Xique
